07-12-2018 15:04:20 [<module>:243] INFO : Initializing TPC-C benchmark using MongodbDriver
07-12-2018 15:04:20 [<module>:253] INFO : Loading TPC-C benchmark data using MongodbDriver
07-12-2018 15:04:20 [loadTuples:336] INFO : Loading 1 tuples for tableName WAREHOUSE
07-12-2018 15:04:20 [loadTuples:336] INFO : Loading 1 tuples for tableName WAREHOUSE
07-12-2018 15:04:20 [loadTuples:336] INFO : Loading 1 tuples for tableName WAREHOUSE
07-12-2018 15:04:20 [loadTuples:336] INFO : Loading 1 tuples for tableName WAREHOUSE
07-12-2018 15:04:21 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:21 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:22 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:22 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:23 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:24 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:25 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:25 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:26 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:26 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:27 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:27 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:28 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:29 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
07-12-2018 15:04:29 [loadTuples:336] INFO : Loading 2500 tuples for tableName ITEM
